id;start_date;end_date;name;location
1;2020-10-15;2020-10-16;Vatu Games Executive;Montana European Monetary Unit (E.M.U.-6) Practical
2;2020-10-16;2020-10-16;Business-focused Research;Indiana Strategist
3;2020-10-15;2020-10-16;Re-engineered envisioneer Usability;Tasty Wooden Shoes
4;2020-10-15;2020-10-16;transmitting;synthesizing collaborative
5;2020-10-16;2020-10-16;utilize;dedicated bus Buckinghamshire
6;2020-10-16;2020-10-15;Plastic Facilitator Money Market Account;input payment transmit
7;2020-10-16;2020-10-16;optical;Landing
8;2020-10-16;2020-10-16;grey Auto Loan Account Generic;Serbian Dinar quantify
9;2020-10-15;2020-10-16;withdrawal Checking Account;Fantastic Concrete Salad
10;2020-10-16;2020-10-16;THX Technician calculating;stable input
